2022-03-19 18:25:13, 101, 999.8459236067059, 171, -0.000348439134657383, 1946.1676630401612
2022-03-19 18:25:15, 103, 999.9529237654025, 139, -0.00036149710416793823, 5455.402727085114
2022-03-19 18:25:19, 107, 999.9755952593302, 143, -0.00036052459478378297, 22480.104946964264
2022-03-19 18:25:20, 108, 1000.3182501595828, 157, -0.0003602217137813568, 25691.643451854707
2022-03-19 18:25:22, 111, 1000.5691012908162, 168, -0.00036063590645790103, 684.442019378662
2022-03-19 18:25:23, 112, 1000.7059721609694, 173, -0.0003614301383495331, 13243.00672620392
2022-03-19 18:25:25, 114, 1000.7751435348259, 142, -0.00036084574460983277, 11047.630010757446
2022-03-19 18:25:26, 115, 1000.916046130538, 159, -0.00037179148197174073, 6807.50269323349
2022-03-19 18:25:27, 116, 1000.9328428289284, 141, -0.0003614893853664398, 905.9595333557129
2022-03-19 18:25:28, 117, 1001.5015889445982, 169, -0.0016183368265628815, 27.309731704711915
2022-03-19 18:25:29, 118, 1001.834367829506, 165, -0.00042212402820587157, 471.1866161193848
2022-03-19 18:26:44, 201, 1002.2466176950521, 223, -0.00023560959100723267, 329.1998602142334
2022-03-19 18:26:45, 202, 1003.0216182209166, 227, 0.0001260509490966797, 166.20931787109376
2022-03-19 18:26:55, 213, 1003.2239287688883, 201, -0.0002581925168633461, 1519.1858159942626
2022-03-19 18:27:32, 255, 1003.3384249739908, 203, -0.00033155882358551025, 15208.928912736892
2022-03-19 18:27:33, 256, 1003.3744859477156, 223, -0.00031658375263214113, 278.58283060073853
2022-03-19 18:28:58, 351, 1003.4588194102126, 227, -0.00028223800659179686, 69.91504969024658
2022-03-19 18:28:59, 352, 1003.6885079349887, 185, -0.000256830096244812, 16.055066375732423
2022-03-19 18:29:12, 366, 1003.8087440008683, 183, -0.00028505122661590576, 207.14470585632324
2022-03-19 18:29:13, 367, 1003.824399631563, 187, -0.0002529110908508301, 62.902319160461424
2022-03-19 18:29:15, 370, 1003.9681955591226, 197, -0.0007480342388153077, 42.234481384277345
2022-03-19 18:29:17, 372, 1004.0810748085528, 161, -0.0012755123376846313, 4.753357667922973
2022-03-19 18:29:19, 374, 1004.1105558940761, 209, 0.0005198749303817749, 20.638298446655273
2022-03-19 18:29:24, 380, 1004.800171564844, 213, -0.000279619961977005, 132.6651279296875
2022-03-19 18:29:36, 393, 1004.9142350943729, 224, -0.00031897874176502227, 14.382718200683593
2022-03-19 18:29:37, 394, 1005.0598872566521, 206, -8.467435836791992e-05, 6.075450904846192
